,acc,loss,val_acc,val_loss,epoch_runtime
0,0.567388911086148,6.99644727112395,0.5609397964330497,1.7505464578340058,12.873945236206055
1,0.5743665092577183,0.9682588295773727,0.6387665274384788,0.743721260985964,3.746919870376587
2,0.5997062101987544,0.7365344985197714,0.6314243768805449,0.7153323908909477,3.710836410522461
3,0.608887264888776,0.7140810511762764,0.6417033865763402,0.6998530161538313,3.7038142681121826
4,0.6312890239730286,0.7120861108365236,0.6519823837560355,0.6760093424463762,3.6945011615753174
5,0.6511200926253956,0.6859450565949985,0.6593245250363007,0.6747353057679276,3.6785528659820557
6,0.6757253083375461,0.6663382082488053,0.6798825285858344,0.6477008777042843,3.7095444202423096
7,0.7058391473637404,0.624606268461951,0.7195301028775398,0.6174939058600718,3.686951160430908
8,0.7344840214701641,0.5973867503895376,0.6828193779208762,0.6447381442864035,3.6841392517089844
9,0.743665076576083,0.5915961911299191,0.7577092454121852,0.5821780477501397,3.672008752822876
