,acc,loss,val_acc,val_loss,epoch_runtime
0,0.5392228780516432,7.042222027904477,0.5997067529085445,1.7456804171335663,7.278087854385376
1,0.6436950178745905,0.9431068507020425,0.649560120448339,0.7203385445379442,3.682621479034424
2,0.7225073335632202,0.6761612474393984,0.7111436974617743,0.6527159712181763,3.636650562286377
3,0.7463343101512652,0.621311753988266,0.7785923669764723,0.5567808055108593,3.7277870178222656
4,0.7683284477579279,0.5880652419851322,0.7390029344740501,0.5919881858958527,3.675879955291748
5,0.7690615776347275,0.5778547205096466,0.7991202342545182,0.5261681857696376,3.677318572998047
6,0.7892228714094833,0.5386215266157105,0.7551319684800515,0.5621561416782592,3.7010159492492676
7,0.8005865057192939,0.5231455399537366,0.7668621742830248,0.5834780973423261,3.714477300643921
8,0.8214809329104213,0.49484846834912677,0.8313782926528684,0.4684536852969452,3.6389970779418945
9,0.8075513150160614,0.5056783568299761,0.8299120140215519,0.46621108229908426,3.67284893989563
