,acc,loss,val_acc,val_loss,epoch_runtime
0,0.525293253493274,7.007309462492767,0.5146627577343994,1.7379549650852282,4.158019304275513
1,0.5744134906537371,0.95269506492398,0.5879765435223006,0.7571316536220987,3.561757802963257
2,0.6477272763105432,0.7175294521791844,0.6260997144357899,0.7058022162082258,3.5432941913604736
3,0.6796187749706055,0.6741223770502376,0.6480938384959425,0.7012959255500972,3.560054063796997
4,0.7052785914576998,0.6566795364590334,0.6876833003637028,0.6516566306265219,3.5698814392089844
5,0.7093108545038358,0.6397521815691526,0.6920821128352996,0.6618250115526038,3.563694953918457
6,0.7382697956827728,0.6094205956523719,0.7448680385116957,0.5956109472034264,3.5584890842437744
7,0.7507331380484041,0.5861837310481631,0.7038123156667805,0.625577908195009,3.5791709423065186
8,0.7653958930735014,0.5777720184095444,0.6920821114369502,0.6697535430930577,3.575796127319336
9,0.760630495168946,0.5715134343968109,0.7683284427763081,0.5823426547288195,3.734003782272339
