,acc,loss,val_acc,val_loss,epoch_runtime
0,0.5038532100686239,6.989995182107348,0.5000000001747937,1.729551074791514,3.9812161922454834
1,0.4990825674949436,0.9512542622898696,0.49999999545536433,0.7512555924678478,3.531405210494995
2,0.499816511202296,0.7418335900394195,0.49999999545536433,0.7389030683774752,3.5412771701812744
3,0.49504587190960525,0.7384670967355781,0.5000000001747937,0.7382940606287847,3.5351078510284424
4,0.4891743102204909,0.738062131842342,0.5000000001747937,0.7377089213066437,3.520292043685913
5,0.5001834841496354,0.7379135998017198,0.5000000001747937,0.73800110030384,3.5388665199279785
6,0.4899082520139327,0.7378140731689034,0.5000000001747937,0.7376792633638354,3.513500213623047
7,0.500183484696467,0.7378172032330015,0.5000000001747937,0.7375306499318993,3.5282042026519775
8,0.4902752285156775,0.7378236142867202,0.49999999545536433,0.7377074547876711,3.53243088722229
9,0.4994495426296094,0.7377537259268104,0.5000000001747937,0.7379501638524344,3.516619920730591
