,acc,loss,val_acc,val_loss,epoch_runtime
0,0.5341159205881009,6.996618171430911,0.5175953070439202,1.7272726276403298,7.81494927406311
1,0.54585473139935,0.9600579737742334,0.5953079185877378,0.7601855430435226,3.635136365890503
2,0.595377845726552,0.7360510771447739,0.5909090999983623,0.7237110606386514,3.7139675617218018
3,0.6027146022895287,0.7249892485640281,0.5923753677050738,0.7159200882282425,3.65205979347229
4,0.625091708677268,0.7043031580467392,0.6041055756929683,0.7106756047069852,3.6707985401153564
5,0.6144534141284441,0.7065338863227968,0.6011730200034782,0.7124357391312675,3.6518263816833496
6,0.6272927438915432,0.7018538355739871,0.595307916228023,0.707793004701564,3.6785471439361572
7,0.625825389049898,0.7044061064195388,0.5967742065705163,0.7088509119850449,3.6615326404571533
8,0.6184886311968721,0.7014016930180618,0.601173022800177,0.7079298978676893,3.6606361865997314
9,0.6294937706439703,0.7004184407166322,0.6026392992465727,0.708460330788341,3.6381590366363525
